date,ageGroup,vaxxed
07/20/2022,<2 Years,0.023
07/20/2022,2 - 4 Years,0.038
07/20/2022,5 - 11 Years,0.372
07/20/2022,12 - 17 Years,0.703
07/20/2022,18 - 24 Years,0.795
07/20/2022,25 - 49 Years,0.832
07/20/2022,50 - 64 Years,0.939
07/20/2022,65+ Years,0.95
07/19/2022,<2 Years,0.023
07/19/2022,2 - 4 Years,0.037
07/19/2022,5 - 11 Years,0.371
07/19/2022,12 - 17 Years,0.703
07/19/2022,18 - 24 Years,0.795
07/19/2022,25 - 49 Years,0.832
07/19/2022,50 - 64 Years,0.938
07/19/2022,65+ Years,0.95
07/18/2022,<2 Years,0.022
07/18/2022,2 - 4 Years,0.036
07/18/2022,5 - 11 Years,0.371
07/18/2022,12 - 17 Years,0.703
07/18/2022,18 - 24 Years,0.794
07/18/2022,25 - 49 Years,0.832
07/18/2022,50 - 64 Years,0.938
07/18/2022,65+ Years,0.95
07/17/2022,<2 Years,0.021
07/17/2022,2 - 4 Years,0.035
07/17/2022,5 - 11 Years,0.371
07/17/2022,12 - 17 Years,0.703
07/17/2022,18 - 24 Years,0.794
07/17/2022,25 - 49 Years,0.832
07/17/2022,50 - 64 Years,0.938
07/17/2022,65+ Years,0.95
07/16/2022,<2 Years,0.021
07/16/2022,2 - 4 Years,0.034
07/16/2022,5 - 11 Years,0.371
07/16/2022,12 - 17 Years,0.703
07/16/2022,18 - 24 Years,0.794
07/16/2022,25 - 49 Years,0.832
07/16/2022,50 - 64 Years,0.938
07/16/2022,65+ Years,0.95
07/15/2022,<2 Years,0.021
07/15/2022,2 - 4 Years,0.034
07/15/2022,5 - 11 Years,0.37
07/15/2022,12 - 17 Years,0.703
07/15/2022,18 - 24 Years,0.794
07/15/2022,25 - 49 Years,0.832
07/15/2022,50 - 64 Years,0.938
07/15/2022,65+ Years,0.95
07/14/2022,<2 Years,0.02
07/14/2022,2 - 4 Years,0.032
07/14/2022,5 - 11 Years,0.37
07/14/2022,12 - 17 Years,0.703
07/14/2022,18 - 24 Years,0.794
07/14/2022,25 - 49 Years,0.831
07/14/2022,50 - 64 Years,0.938
07/14/2022,65+ Years,0.95
07/13/2022,<2 Years,0.019
07/13/2022,2 - 4 Years,0.031
07/13/2022,5 - 11 Years,0.37
07/13/2022,12 - 17 Years,0.702
07/13/2022,18 - 24 Years,0.794
07/13/2022,25 - 49 Years,0.831
07/13/2022,50 - 64 Years,0.938
07/13/2022,65+ Years,0.95
07/12/2022,<2 Years,0.018
